row_type,site_id,latitude,longitude,snapped_link_id,snap_distance_m,snapped_road_classification,used_by_timezone_profile,used_by_temporal_raw_profiles,stage2_seed42_test_link,webtris_hgv_records,webtris_n_months,webtris_road_type,webtris_hgv_pct,aadf_hgv_proportion,road_classification,collision_count,aadf_hgv_pct,hgv_pct_abs_diff,hgv_pct_signed_diff,n_sites_in_snap_map,n_sites_with_webtris_hgv,n_sites_with_aadf_hgv,n_sites_compared,pearson_r,pearson_p,spearman_r,spearman_p,median_abs_diff_pct_points,mean_signed_diff_pct_points,risk_scores_aadf_hgv_missing_share_all_links
summary,,,,,,,,,,,,,,,,,,,,6003.0,6003.0,2725.0,2725.0,0.32534081516112573,3.297260670969912e-68,0.2934190684153702,3.034998735255073e-55,6.763077097501192,-7.941750126744743,0.9033040422927747
site,14582,52.2226116054253,-2.14753760056225,41354C30-DC24-4296-8E77-823B673952B0,251.69347950827677,Classified Unnumbered,1.0,1.0,0.0,28.0,12.0,Motorway,17.225,0.17177984964932175,Classified Unnumbered,1.0,17.177984964932175,0.047015035067826005,-0.047015035067826005,,,,,,,,,,,
site,14584,54.3230880772089,-1.57854301505581,48E2C607-55BE-42F1-B021-201CF97743CA,180.00540356159888,Not Classified,1.0,1.0,0.0,31.0,12.0,A-road,18.64516129032258,,Not Classified,0.0,,,,,,,,,,,,,,
site,14585,54.444361644682,-1.66855544491297,CAF1C861-1A59-455C-AB3D-5836857262B6,37.93736257012216,Motorway,1.0,1.0,0.0,24.0,12.0,A-road,17.212500000000002,,Motorway,0.0,,,,,,,,,,,,,,
site,14586,52.233987024711,-2.13843738391219,322127BB-F487-4F7B-86E7-62244CFE3053,199.40469841330724,Unknown,1.0,1.0,0.0,28.0,12.0,Motorway,18.935714285714287,,Unknown,0.0,,,,,,,,,,,,,,
site,14587,52.2496455651781,-2.1333441149928,A0E0E728-BB7C-4FAD-93A3-30DDA7DE2974,161.13789155645523,Motorway,1.0,1.0,0.0,3.0,3.0,Motorway,19.7,0.0321181621046602,Motorway,73.0,3.2118162104660204,16.488183789533977,-16.488183789533977,,,,,,,,,,,
site,14588,53.587913513136,-2.15360712268147,1B906FF4-F1C6-4FF6-AAD1-301ACA4BF499,5.916324622248265,Motorway,1.0,1.0,1.0,32.0,12.0,Motorway,11.6,0.0550353693973994,Motorway,7.0,5.50353693973994,6.09646306026006,-6.09646306026006,,,,,,,,,,,
site,14589,52.3045293435252,-2.1089596937984,47079749-FF6B-4EDF-875C-5C55ABC8A25A,240.0738332828735,Unknown,1.0,1.0,0.0,35.0,12.0,Motorway,21.47142857142857,,Unknown,0.0,,,,,,,,,,,,,,
site,1459,52.4309929367247,-1.32988518059793,72C5AD33-845F-43B6-A763-521B11D17C82,202.710372872588,B Road,1.0,1.0,0.0,36.0,12.0,Motorway,25.438888888888886,,B Road,0.0,,,,,,,,,,,,,,
site,14590,53.5593299679537,-2.24552969207675,5674EAEA-7983-4EEE-AECF-B9AB3F36259B,41.972330230222845,Motorway,1.0,1.0,0.0,33.0,12.0,Motorway,18.26060606060606,0.14652171056953295,Motorway,26.0,14.652171056953295,3.608435003652767,-3.608435003652767,,,,,,,,,,,
site,14591,52.260204990039,-2.1370388294436,7E076545-1100-4783-B628-55A455C57FEB,98.53360415786254,Unclassified,1.0,1.0,0.0,28.0,12.0,Motorway,16.05,,Unclassified,0.0,,,,,,,,,,,,,,
site,14592,52.3286598671935,-2.08570340307152,7DFCD2E7-C8F5-4E79-A792-BCCA5BEF3FE0,48.245413289499055,Unknown,1.0,1.0,0.0,36.0,12.0,Motorway,17.727777777777778,,Unknown,0.0,,,,,,,,,,,,,,
site,14593,54.3253161761792,-1.58091879153411,FF8D6B39-95C9-40A3-8030-CBB59096D8B2,78.63591682191505,A Road,1.0,1.0,0.0,15.0,12.0,A-road,20.253333333333334,0.19152109075415424,A Road,2.0,19.152109075415424,1.1012242579179095,-1.1012242579179095,,,,,,,,,,,
site,14594,53.5689276975176,-2.22826607741362,3058EBE2-4278-4E24-99E8-21E9BD4F730B,45.71477269778685,Unknown,1.0,1.0,0.0,35.0,12.0,Motorway,18.397142857142857,,Unknown,0.0,,,,,,,,,,,,,,
site,14595,52.3442705608535,-2.08078671838462,DE34ACF6-CD71-4341-9F61-9C22A8A2D4F6,270.1537513825103,Unknown,1.0,1.0,0.0,12.0,12.0,Motorway,14.808333333333332,,Unknown,0.0,,,,,,,,,,,,,,
site,14596,54.3252453464001,-1.58122701548305,FF8D6B39-95C9-40A3-8030-CBB59096D8B2,68.02188082482235,A Road,1.0,1.0,0.0,15.0,12.0,A-road,20.0,0.19152109075415424,A Road,2.0,19.152109075415424,0.8478909245845756,-0.8478909245845756,,,,,,,,,,,
site,14597,53.573784260777,-2.21205840892202,6F7030C5-D345-4692-888F-C8CEE8AFB077,66.25534804079453,Motorway,1.0,1.0,0.0,14.0,12.0,Motorway,9.328571428571427,,Motorway,0.0,,,,,,,,,,,,,,
site,14598,52.3482301223321,-2.0747168211592,AACF5ACA-66ED-4647-829B-6FA3AA991AE8,67.58905337349901,Unclassified,1.0,1.0,0.0,7.0,6.0,Motorway,31.385714285714283,,Unclassified,0.0,,,,,,,,,,,,,,
site,14599,52.2639542298726,-2.13684526613387,6E43A7DF-DE3A-4587-8EB8-0C95D525EFE0,69.26360815351728,Unclassified,1.0,1.0,0.0,21.0,12.0,Motorway,15.233333333333333,,Unclassified,0.0,,,,,,,,,,,,,,
site,14600,52.307391156258,-2.1056815397061,91D06D90-AA9D-43DD-8192-550752D11F60,146.10722012033708,Unclassified,1.0,1.0,0.0,20.0,12.0,Motorway,19.835,,Unclassified,0.0,,,,,,,,,,,,,,
site,14601,54.419849312837,-1.66362047371963,1597C659-7089-4747-B635-93420C6AA60D,69.89301862695716,A Road,1.0,1.0,0.0,31.0,12.0,A-road,20.496774193548386,0.01899895178197065,A Road,1.0,1.8998951781970652,18.59687901535132,-18.59687901535132,,,,,,,,,,,
site,14602,53.570908611456,-2.22163264316108,015018DA-E5B4-49A5-AA36-6449B9E40C3F,19.173368598471477,A Road,1.0,1.0,0.0,36.0,12.0,Motorway,19.102777777777778,0.019462352511859873,A Road,1.0,1.9462352511859873,17.156542526591792,-17.156542526591792,,,,,,,,,,,
site,14603,52.3514410773034,-2.07213855739976,576A12EC-C9A4-4E4F-8E8C-0E228A2D0B7F,56.57995989704488,Motorway,1.0,1.0,0.0,24.0,12.0,Motorway,16.316666666666666,0.18047093046110302,Motorway,3.0,18.0470930461103,1.7304263794436352,1.7304263794436352,,,,,,,,,,,
site,14604,52.2861244373186,-2.12015805214993,65F64905-6D5F-4F96-9E83-EFC0F468797B,56.17629742637826,Motorway,1.0,1.0,0.0,36.0,12.0,Motorway,12.758333333333333,0.08766233766233766,Motorway,2.0,8.766233766233766,3.992099567099567,-3.992099567099567,,,,,,,,,,,
site,14605,53.5782480564508,-2.20368359335326,B038E866-2FEC-4449-8D6D-C09844155BA1,59.92127437846574,Motorway,1.0,1.0,0.0,36.0,12.0,Motorway,12.086111111111112,,Motorway,0.0,,,,,,,,,,,,,,
