poisson_z_sim,nb_z_sim
1961309,1964116
1961335,1964521
1961307,1964168
1961208,1964219
1961089,1964238
1961138,1964579
1961230,1963874
1961057,1964121
1961126,1964100
1961145,1964279
1961344,1964254
1961353,1964431
1961108,1964761
1960969,1964207
1961056,1964352
1961074,1964298
1961107,1964079
1961289,1963752
1960980,1964030
1961136,1964121
1960931,1964339
1961273,1964218
1961149,1964049
1961132,1964276
1961259,1964242
1961101,1963902
1961230,1964130
1961364,1964372
1960827,1964066
1961141,1964160
1961311,1964331
1961158,1964221
1961043,1964285
1960982,1964370
1961055,1964358
1960736,1964488
1961406,1964160
1961121,1964275
1960909,1964172
1961316,1964046
1961172,1964521
1960977,1964020
1961346,1963946
1960706,1964088
1961209,1963909
1961062,1963967
1961379,1964117
1961210,1964391
1961273,1964248
1961172,1964121
1961336,1964170
1961478,1964388
1961057,1964141
1961034,1963911
1961447,1964187
1961243,1964172
1961300,1964343
1961342,1964079
1961143,1964206
1961467,1964186
1961064,1964293
1961108,1964125
1961326,1964224
1961260,1964273
1961111,1964064
1961173,1963695
1960977,1963965
1961191,1964321
1961527,1964004
1960983,1964098
1961352,1964318
1960974,1964462
1961091,1964393
1961242,1963919
1961554,1964204
1961292,1963965
1961099,1964375
1961821,1964268
1961050,1964291
1961314,1964165
1961259,1964173
1961202,1964205
1961231,1964331
1961300,1964435
